"date","agency","agency_mbs","treasury","total","rate"
"20180410",34.8,580.24,865.8,1480.84,1.7
"20180509",35.84,586.04,936.49,1558.37,1.68
"20180611",33.08,607.34,940.59,1581.01,1.67
"20180711",31.8,612.84,906,1550.64,1.87
"20180912",27.85,619.29,944.73,1591.87,1.87
"20180912",34.2,704.44,991.11,1729.75,1.92
"20181010",37.89,719.72,963.14,1720.75,2.13
"20181109",39.99,728.66,1028.96,1797.61,2.2
"20181211",37.41,716.59,1082.97,1836.97,2.2
"20190110",30.41,725.93,1113.07,1869.41,2.44
"20190211",31.86,742.06,1191.08,1965,2.35
"20190311",31.62,749.46,1159.29,1940.37,2.36
"20190409",27.92,734.3,1182.16,1944.38,2.43
"20190509",26.53,734.42,1226.83,1987.78,2.4
"20190611",30.37,775.21,1258.75,2064.33,2.37
"20190710",30.59,790.96,1259.68,2081.23,2.45
"20190809",27,792.52,1323.29,2142.81,2.07
"20190911",33.11,818.06,1273.35,2124.52,2.13
"20191009",29.73,823.76,1282.92,2136.41,1.82
"20191112",29.85,811.03,1269.83,2110.71,1.53
"20191210",1203.84,29.22,828.56,2061.62,1.53
"20200110",1204.31,33.63,882,2119.94,1.52
"20200211",1207.72,40.24,927.49,2175.45,1.56
"20200310",1397.22,42.59,874.37,2314.18,1.08
"20200409",36.78,866.41,1241.06,2144.25,0.01
"20200511",36.78,866.41,1241.06,2144.25,0.05
